"HolderAddress","Balance","PendingBalanceUpdate"
"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0","200","No"
"0x01acb9746c8b9fae1b58af48a4728f8860045ab7","10","No"
"0x01ad11bcd11e372f061dee330912557b557cd24c","100","No"
"0x01ad14de8704482dd00fbde7f24ef7718da03542","0.1","No"
"0x01ad25b5c4cd1361c214c7107482518c923bf4c7","350","No"
"0x01ae19c8c874e0df25497cf119b1f4de690818a7","101.31973085","No"
"0x01b09e999a281a8f31eb283de3fc987dae1fa3e6","1201.00658034","No"
"0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1","200","No"
"0x01b510690b43e86299d80caaa87e3459ab2b7aff","750","No"
"0x01b6d00f9464198359ce80557dc9e06ee26f3a2d","1023.37372172","No"
"0x01b916ca79ad2a7996f7f429e2592efdb8a14033","102.39158253","No"
